event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,year_month,conflict
SUD10989,2017-10-27,2017,1,Political violence,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),,Identity militia,Civilians (Sudan),Al-Falata Ethnic Group (Sudan); Fur Ethnic Group (Sudan),Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,South Darfur,Sharg Aj Jabal,,Fuguli,12.9046,24.6399,1,UNSC,Other,"A group of armed nomads attacked Fallata and Fur returnees in Funguli village, 54 km north-west of the team site at Menawashei, in East Jebel Marra locality, killing five and injuring several others.",9,,1618573130,2017-10,1
SUD10987,2017-10-21,2017,1,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Unidentified Armed Group (Sudan),,Political militia,Rebel group-Political militia,,729,Northern Africa,Sudan,South Darfur,Sharg Aj Jabal,,Feina,12.8825,24.4881,1,UNSC,Other,"A clash took place in Feina, north-east of Kass in South Darfur, when SLA/AW reportedly encroached an area controlled by a splinter group. It is unclear of what group the second actor is a splinter of.",1,,1618573130,2017-10,1
SUD11659,2017-12-25,2017,1,Political violence,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,Political militia,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),Civilians,Political militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,Central Darfur,Zalingi,,Hamidiya,12.9169,23.4831,2,UNSC,Other,"25 December. Four civilian clothed armed men tried to rape three IDP women in Balda area, 7km north of IDP Hamidya camp",0,,1618573214,2017-12,1
SUD11681,2018-08-09,2018,1,Political violence,Battles,Armed clash,Fur Ethnic Militia (Sudan),Farmers (Sudan),Identity militia,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Identity militia-Identity militia,,729,Northern Africa,Sudan,South Darfur,Sharg Aj Jabal,,Feina,12.8825,24.4881,2,UNSC,Other,"09 August. Fur farmers clashed with a group of nomads in Hebry village, close to Feina. Four people killed, several injured and 100 head of livestock stolen",4,,1618573220,2018-08,1
SUD12914,2019-07-21,2019,2,Political violence,Violence against civilians,Attack,Darfur Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Civilians (Sudan),Farmers (Sudan),Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,North Darfur,Kutum,,Kutum,14.2065,24.6499,2,Radio Dabanga,National,"On or around July 21st, pastoralist militias were reported to have engaged in a spate of attacks against farmers at several locations in Kutum and Tawila localities (North Darfur state). The farmers were beaten and expelled from their farms. Two events coded (one in Tawila, the other in Kutum, both at prec2).",0,,1564426184,2019-07,1
SUD12915,2019-07-21,2019,2,Political violence,Violence against civilians,Attack,Darfur Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Civilians (Sudan),Farmers (Sudan),Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,North Darfur,Tawila,,Tawila,13.5157,24.8653,2,Radio Dabanga,National,"On or around July 21st, pastoralist militias were reported to have engaged in a spate of attacks against farmers at several locations in Kutum and Tawila localities (North Darfur state). The farmers were beaten and expelled from their farms. Two events coded (one in Tawila, the other in Kutum, both at prec2).",0,,1618573357,2019-07,1
SUD12946,2019-01-17,2019,1,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Rebel group-Rebel group,,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction), plus 20 killed and 15 wounded fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events.",7,,1618573361,2019-01,1
SUD12948,2019-01-28,2019,1,Political violence,Battles,Armed clash,Beni Halba Ethnic Militia (Sudan),,Identity militia,Beni Hussein Ethnic Militia (Sudan),,Identity militia,Identity militia-Identity militia,,729,Northern Africa,Sudan,Central Darfur,Zalingi,,Korare,12.9832,23.4168,2,UNSC,Other,"On Jan 28th, Beni Halba and Beni Hussein groups clashed in the area of Korare (Central Darfur), causing several injuries. The dispute was later peacefully resolved.",0,,1618573361,2019-01,1
SUD12951,2019-01-30,2019,3,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Rebel group-Rebel group,,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,,1618573362,2019-01,1
SUD12952,2019-02-03,2019,1,Political violence,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Civilians (Sudan),Farmers (Sudan),Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,3,UNSC,Other,"On Feb 3rd, armed pastoralists killed three farmers at Tamel Daheash (North Darfur; no geographic information found, coordinates for El Fasher used at prec3). The farmers had been trying to stop the pastoralists from grazing their animals on their land.",3,,1618573362,2019-02,1
SUD12957,2019-02-14,2019,3,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Rebel group-Rebel group,,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,,1618573363,2019-02,1
SUD12958,2019-02-15,2019,3,Political violence,Violence against civilians,Attack,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Civilians (Sudan),Fur Ethnic Group (Sudan),Civilians,Rebel group-Civilians,Civilian targeting,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, two rival SLM/A-al Nur factions attacked Fur civilians in the area of Daya (Central Darfur), killing 5, wounding 5, and abducting 15. It is not clear which factions are responsible for the specific deaths. Three events coded at time prec3, with fatalities distributed across three events. Two events coded with regular SLM/A-al Nur rebels as actor1, one with splinter faction as actor1.",2,,1618573363,2019-02,1
SUD12961,2019-02-28,2019,3,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Rebel group-Rebel group,,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,,1618573363,2019-02,1
SUD12962,2019-03-01,2019,3,Political violence,Violence against civilians,Attack,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,Civilians (Sudan),Fur Ethnic Group (Sudan),Civilians,Rebel group-Civilians,Civilian targeting,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, two rival SLM/A-al Nur factions attacked Fur civilians in the area of Daya (Central Darfur), killing 5, wounding 5, and abducting 15. It is not clear which factions are responsible for the specific deaths. Three events coded at time prec3, with fatalities distributed across events. Two events coded with regular SLM/A-al Nur rebels as actor1, one with splinter faction as actor1.",2,,1618573364,2019-03,1
SUD12968,2019-03-15,2019,3,Political violence,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),,Rebel group,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Rebel group,Rebel group-Rebel group,,729,Northern Africa,Sudan,Central Darfur,Shamal Jabal Marrah,,Daya,13.2127,24.3748,2,UNSC,Other,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,,1618573365,2019-03,1
