run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_rain_text_conflict_threshold_change_ethiopia_pca_1_4,af287f0d8b094e6db3372bcc48565c1a,acled_sub_food_rain_text_conflict_threshold_change_ethiopia,True,True,True,True,True,1,4,sub_event_type,0.1887,56,0.2124,0.1975,0.9394,0.3263,0.2965,0.2278,1.0000,0.3711,1.0,1,0.1,5,3,0,0.03,0,0.8,0.6,1,4,sub_event_type
acled_event_food_rain_text_conflict_threshold_change_ethiopia_pca_1_4,36c780f3a2bf44c299de163972e1d077,acled_event_food_rain_text_conflict_threshold_change_ethiopia,True,True,True,True,True,1,4,event_type,0.3291,38,0.2322,0.1964,1.0000,0.3284,0.2601,0.2143,1.0000,0.3529,0.8,10,2,3,3,5,0.01,5,0.8,0.8,1,4,event_type
acled_sub_food_rain_threshold_change_ethiopia_1_4,86c2b3bb041240668cab05e52be1429a,acled_sub_food_rain_threshold_change_ethiopia,True,True,False,False,False,1,4,sub_event_type,0.2034,29,0.2704,0.2000,0.8788,0.3258,0.2794,0.2295,0.7778,0.3544,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,4,sub_event_type
acled_event_food_rain_threshold_change_ethiopia_1_4,3cd3698b23e54677b96592e476ad62e3,acled_event_food_rain_threshold_change_ethiopia,True,True,False,False,False,1,4,event_type,0.1068,11,0.2593,0.2062,1.0000,0.3420,0.2794,0.2313,0.9444,0.3716,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,4,event_type
acled_sub_food_text_conflict_threshold_change_ethiopia_pca_1_4,afbb33803435497caca683e034ff7eda,acled_sub_food_text_conflict_threshold_change_ethiopia,True,False,True,True,True,1,4,sub_event_type,0.3878,55,0.2822,0.1975,0.9394,0.3263,0.2609,0.2129,0.9167,0.3455,0.6,10,0.1,1,3,1,0.01,5,0.6,0.8,1,4,sub_event_type
acled_event_food_text_conflict_threshold_change_ethiopia_pca_1_4,3340891c12a04911ad82b1960d255a4d,acled_event_food_text_conflict_threshold_change_ethiopia,True,False,True,True,True,1,4,event_type,0.3111,37,0.2488,0.1964,1.0000,0.3284,0.3159,0.2143,1.0000,0.3529,1.0,10,2,3,7,1,0.01,1,0.6,0.6,1,4,event_type
acled_sub_food_threshold_change_ethiopia_1_4,4a50ac0f3c764df088854e64b3ab21c2,acled_sub_food_threshold_change_ethiopia,True,False,False,False,False,1,4,sub_event_type,0.3343,28,0.2840,0.2078,0.9697,0.3422,0.2441,0.2308,0.9167,0.3687,1.0,1,1,5,7,0,0.01,0,1.0,0.8,1,4,sub_event_type
acled_event_food_threshold_change_ethiopia_1_4,04325a3300bc4ef7ad902c82942a2aee,acled_event_food_threshold_change_ethiopia,True,False,False,False,False,1,4,event_type,0.1390,10,0.3048,0.2000,1.0000,0.3333,0.2652,0.2156,1.0000,0.3547,0.8,1,2,3,7,0,0.03,0,0.6,1.0,1,4,event_type
acled_sub_rain_text_conflict_threshold_change_ethiopia_pca_1_4,c1c0886927f0424ab98d238cfcbee54a,acled_sub_rain_text_conflict_threshold_change_ethiopia,False,True,True,True,True,1,4,sub_event_type,0.3146,55,0.2294,0.1964,1.0000,0.3284,0.2861,0.2143,1.0000,0.3529,0.8,10,1,3,5,1,0.01,0,0.6,1.0,1,4,sub_event_type
acled_event_rain_text_conflict_threshold_change_ethiopia_pca_1_4,30b09f0bf22a49d9b106ed0861e0a1fb,acled_event_rain_text_conflict_threshold_change_ethiopia,False,True,True,True,True,1,4,event_type,0.3266,37,0.2236,0.2000,0.9697,0.3316,0.2763,0.2147,0.9722,0.3518,0.6,10,0,3,7,1,0.01,0,1.0,1.0,1,4,event_type
acled_sub_rain_threshold_change_ethiopia_1_4,c18b42b5154e4006a7b0fde53fe89369,acled_sub_rain_threshold_change_ethiopia,False,True,False,False,False,1,4,sub_event_type,0.1612,28,0.2297,0.2026,0.9394,0.3333,0.2602,0.2462,0.8889,0.3855,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,1,4,sub_event_type
