feature,mean_abs_shap,dataset,category
rolling_mean_6m,0.23344621,train,Structural Baseline (Rolling Stats)
PC2,0.082260974,train,Text Embeddings
PC19,0.06996412,train,Text Embeddings
rolling_std_6m,0.06769224,train,Structural Baseline (Rolling Stats)
rainfall_3m_anomaly,0.039927043,train,Rainfall
PC18,0.039255943,train,Text Embeddings
PC27,0.03547753,train,Text Embeddings
PC4,0.02795643,train,Text Embeddings
PC46,0.020437352,train,Text Embeddings
price_sorghum,0.017275168,train,Food Prices
price_millet,0.015736727,train,Food Prices
PC22,0.01483625,train,Text Embeddings
armed_clash,0.013536267,train,Tabular ACLED Counts
PC6,0.013512746,train,Text Embeddings
looting_property_destruction,0.012861118,train,Tabular ACLED Counts
PC40,0.012422041,train,Text Embeddings
PC3,0.011888072,train,Text Embeddings
PC5,0.010763654,train,Text Embeddings
PC11,0.010127744,train,Text Embeddings
PC12,0.010059409,train,Text Embeddings
attack,0.009625696,train,Tabular ACLED Counts
PC1,0.008843896,train,Text Embeddings
PC47,0.008556689,train,Text Embeddings
price_wheat_flour,0.008476899,train,Food Prices
PC29,0.008292122,train,Text Embeddings
PC21,0.008205773,train,Text Embeddings
PC20,0.008069685,train,Text Embeddings
PC39,0.008019661,train,Text Embeddings
PC32,0.007941631,train,Text Embeddings
PC9,0.007936622,train,Text Embeddings
rolling_mean_6m,0.18631104,onset,Structural Baseline (Rolling Stats)
rolling_std_6m,0.09283035,onset,Structural Baseline (Rolling Stats)
PC19,0.07263741,onset,Text Embeddings
PC2,0.062052783,onset,Text Embeddings
PC27,0.05372408,onset,Text Embeddings
PC18,0.046813864,onset,Text Embeddings
rainfall_3m_anomaly,0.036145806,onset,Rainfall
PC4,0.030185567,onset,Text Embeddings
PC46,0.025561107,onset,Text Embeddings
looting_property_destruction,0.024442462,onset,Tabular ACLED Counts
price_millet,0.015401765,onset,Food Prices
PC40,0.014285182,onset,Text Embeddings
PC22,0.014122242,onset,Text Embeddings
armed_clash,0.0132371355,onset,Tabular ACLED Counts
PC3,0.012972384,onset,Text Embeddings
PC6,0.012825175,onset,Text Embeddings
PC29,0.011462521,onset,Text Embeddings
PC12,0.011374562,onset,Text Embeddings
PC9,0.010892691,onset,Text Embeddings
price_sorghum,0.01070316,onset,Food Prices
attack,0.010456078,onset,Tabular ACLED Counts
PC21,0.010102154,onset,Text Embeddings
PC38,0.008084795,onset,Text Embeddings
PC39,0.0074473866,onset,Text Embeddings
PC20,0.0072004967,onset,Text Embeddings
PC32,0.0070753577,onset,Text Embeddings
PC1,0.0063309125,onset,Text Embeddings
PC41,0.0062162606,onset,Text Embeddings
PC14,0.0061540315,onset,Text Embeddings
PC5,0.0058987583,onset,Text Embeddings
rolling_mean_6m,0.1658427,active,Structural Baseline (Rolling Stats)
rolling_std_6m,0.11695337,active,Structural Baseline (Rolling Stats)
PC19,0.07115301,active,Text Embeddings
PC27,0.057466205,active,Text Embeddings
PC2,0.056656986,active,Text Embeddings
rainfall_3m_anomaly,0.039044682,active,Rainfall
PC18,0.037902597,active,Text Embeddings
PC4,0.033109456,active,Text Embeddings
PC46,0.02481568,active,Text Embeddings
looting_property_destruction,0.023133993,active,Tabular ACLED Counts
PC40,0.019685254,active,Text Embeddings
PC3,0.016216194,active,Text Embeddings
price_sorghum,0.014320208,active,Food Prices
price_millet,0.0138518335,active,Food Prices
PC22,0.012234926,active,Text Embeddings
PC29,0.01211636,active,Text Embeddings
armed_clash,0.011842205,active,Tabular ACLED Counts
PC21,0.011463767,active,Text Embeddings
PC9,0.011180658,active,Text Embeddings
PC12,0.010815768,active,Text Embeddings
attack,0.009593955,active,Tabular ACLED Counts
PC6,0.009050437,active,Text Embeddings
PC41,0.00847107,active,Text Embeddings
PC49,0.0075492803,active,Text Embeddings
PC20,0.007012567,active,Text Embeddings
PC5,0.0068897787,active,Text Embeddings
PC25,0.006710427,active,Text Embeddings
PC38,0.0064434507,active,Text Embeddings
PC35,0.006432622,active,Text Embeddings
PC26,0.006343284,active,Text Embeddings
