feature,mean_abs_shap,dataset,category
rolling_mean_6m,0.16522935,train,Structural Baseline (Rolling Stats)
rolling_std_6m,0.07632987,train,Structural Baseline (Rolling Stats)
emb_657,0.046762288,train,Text Embeddings
emb_655,0.029609188,train,Text Embeddings
emb_709,0.025982345,train,Text Embeddings
emb_555,0.023585394,train,Text Embeddings
emb_544,0.023219958,train,Text Embeddings
emb_160,0.022717474,train,Text Embeddings
emb_84,0.021698713,train,Text Embeddings
emb_665,0.021436095,train,Text Embeddings
emb_584,0.017224181,train,Text Embeddings
emb_746,0.016798139,train,Text Embeddings
emb_355,0.01639299,train,Text Embeddings
emb_690,0.0152246,train,Text Embeddings
emb_643,0.015204069,train,Text Embeddings
price_millet,0.014771928,train,Food Prices
emb_666,0.013973902,train,Text Embeddings
emb_553,0.0138770025,train,Text Embeddings
emb_294,0.011695911,train,Text Embeddings
price_sorghum,0.011684827,train,Food Prices
emb_370,0.011184309,train,Text Embeddings
emb_757,0.010768819,train,Text Embeddings
emb_331,0.010541714,train,Text Embeddings
emb_478,0.009908905,train,Text Embeddings
emb_363,0.009560123,train,Text Embeddings
emb_492,0.009263712,train,Text Embeddings
emb_439,0.00866246,train,Text Embeddings
emb_289,0.00818747,train,Text Embeddings
emb_740,0.007870086,train,Text Embeddings
emb_747,0.00784962,train,Text Embeddings
rolling_mean_6m,0.10885955,onset,Structural Baseline (Rolling Stats)
rolling_std_6m,0.06869842,onset,Structural Baseline (Rolling Stats)
emb_665,0.05102838,onset,Text Embeddings
emb_655,0.044934396,onset,Text Embeddings
emb_757,0.044641614,onset,Text Embeddings
emb_555,0.030679353,onset,Text Embeddings
emb_657,0.029267205,onset,Text Embeddings
emb_160,0.027033838,onset,Text Embeddings
emb_709,0.022050511,onset,Text Embeddings
emb_355,0.018760934,onset,Text Embeddings
emb_584,0.018286632,onset,Text Embeddings
emb_690,0.017124442,onset,Text Embeddings
emb_544,0.015145297,onset,Text Embeddings
emb_84,0.014477575,onset,Text Embeddings
emb_746,0.013176918,onset,Text Embeddings
emb_478,0.011810682,onset,Text Embeddings
emb_740,0.0114199165,onset,Text Embeddings
emb_289,0.01113215,onset,Text Embeddings
emb_581,0.01104592,onset,Text Embeddings
emb_134,0.010740144,onset,Text Embeddings
emb_294,0.010497087,onset,Text Embeddings
emb_363,0.010311007,onset,Text Embeddings
emb_408,0.010125122,onset,Text Embeddings
emb_553,0.009758914,onset,Text Embeddings
emb_331,0.008870228,onset,Text Embeddings
emb_492,0.008681679,onset,Text Embeddings
emb_666,0.008269234,onset,Text Embeddings
price_millet,0.008143023,onset,Food Prices
emb_469,0.007898067,onset,Text Embeddings
emb_631,0.007739028,onset,Text Embeddings
rolling_mean_6m,0.08131341,active,Structural Baseline (Rolling Stats)
rolling_std_6m,0.07358676,active,Structural Baseline (Rolling Stats)
emb_757,0.06958905,active,Text Embeddings
emb_665,0.05759296,active,Text Embeddings
emb_655,0.03863245,active,Text Embeddings
emb_555,0.03264689,active,Text Embeddings
emb_160,0.029041255,active,Text Embeddings
emb_657,0.021605365,active,Text Embeddings
emb_690,0.01733449,active,Text Embeddings
emb_584,0.01620816,active,Text Embeddings
emb_581,0.016029693,active,Text Embeddings
emb_355,0.016012844,active,Text Embeddings
emb_408,0.015198271,active,Text Embeddings
emb_709,0.015074729,active,Text Embeddings
emb_478,0.014091908,active,Text Embeddings
emb_544,0.01288314,active,Text Embeddings
emb_84,0.011631877,active,Text Embeddings
emb_746,0.011509446,active,Text Embeddings
emb_134,0.010470457,active,Text Embeddings
emb_363,0.010349721,active,Text Embeddings
emb_289,0.010160863,active,Text Embeddings
emb_740,0.00944869,active,Text Embeddings
emb_392,0.0089456625,active,Text Embeddings
emb_409,0.008468957,active,Text Embeddings
price_millet,0.008198213,active,Food Prices
emb_63,0.00790254,active,Text Embeddings
emb_82,0.0077998866,active,Text Embeddings
emb_514,0.0076648737,active,Text Embeddings
emb_492,0.007464067,active,Text Embeddings
emb_331,0.007306366,active,Text Embeddings
