feature,mean_abs_shap
rolling_mean_6m,0.18828164
rolling_std_6m,0.05237745
emb_709,0.017605243
emb_306,0.014611117
emb_655,0.014592726
emb_122,0.013328699
emb_36,0.012973722
emb_596,0.011891265
emb_657,0.011593585
emb_289,0.011283587
emb_584,0.010690268
rainfall_3m_anomaly,0.010165348
emb_740,0.009636475
emb_690,0.009604343
emb_109,0.008665469
emb_544,0.008494441
emb_311,0.00819991
emb_548,0.007874884
emb_263,0.007422864
emb_370,0.007212753
emb_255,0.007132813
emb_679,0.0070625204
emb_355,0.0070035453
emb_555,0.0069579137
price_millet,0.006892084
emb_437,0.0067123272
emb_746,0.006599456
emb_331,0.0065162363
emb_541,0.0063998583
emb_84,0.0063956054
