feature,mean_abs_shap,dataset,category
rolling_mean_6m,0.2993075,train,Structural Baseline (Rolling Stats)
rolling_std_6m,0.0943839,train,Structural Baseline (Rolling Stats)
rainfall_3m_anomaly,0.07146264,train,Rainfall
PC3,0.060783364,train,Text Embeddings
PC13,0.05200324,train,Text Embeddings
price_sorghum,0.048996095,train,Food Prices
armed_clash,0.04067564,train,Tabular ACLED Counts
price_millet,0.03864156,train,Food Prices
price_wheat_flour,0.03292713,train,Food Prices
PC20,0.030147864,train,Text Embeddings
peaceful_protest,0.027916607,train,Tabular ACLED Counts
PC18,0.024901519,train,Text Embeddings
PC11,0.023374557,train,Text Embeddings
excessive_force_against_protesters,0.01962212,train,Tabular ACLED Counts
looting_property_destruction,0.013207134,train,Tabular ACLED Counts
PC15,0.012490259,train,Text Embeddings
PC22,0.011915522,train,Text Embeddings
months_since_reading_sorghum,0.010979422,train,Food Prices
PC23,0.010416967,train,Text Embeddings
PC1,0.009756976,train,Text Embeddings
PC12,0.009371498,train,Text Embeddings
PC4,0.008567872,train,Text Embeddings
PC19,0.008562284,train,Text Embeddings
PC16,0.008481322,train,Text Embeddings
attack,0.008385796,train,Tabular ACLED Counts
PC7,0.008220279,train,Text Embeddings
PC21,0.008193474,train,Text Embeddings
PC10,0.007914617,train,Text Embeddings
PC24,0.007796518,train,Text Embeddings
PC5,0.007387113,train,Text Embeddings
rolling_mean_6m,0.26219308,onset,Structural Baseline (Rolling Stats)
rolling_std_6m,0.12461359,onset,Structural Baseline (Rolling Stats)
rainfall_3m_anomaly,0.06264993,onset,Rainfall
PC3,0.06112964,onset,Text Embeddings
PC13,0.059664816,onset,Text Embeddings
armed_clash,0.04358995,onset,Tabular ACLED Counts
price_wheat_flour,0.037971847,onset,Food Prices
price_sorghum,0.03223981,onset,Food Prices
looting_property_destruction,0.030329227,onset,Tabular ACLED Counts
PC11,0.028767722,onset,Text Embeddings
PC20,0.02800226,onset,Text Embeddings
price_millet,0.027464246,onset,Food Prices
peaceful_protest,0.02572323,onset,Tabular ACLED Counts
months_since_reading_sorghum,0.023328772,onset,Food Prices
PC8,0.017579071,onset,Text Embeddings
PC18,0.017527614,onset,Text Embeddings
PC15,0.01324752,onset,Text Embeddings
PC21,0.012511394,onset,Text Embeddings
change_to_group_activity,0.01217918,onset,Tabular ACLED Counts
PC1,0.01181872,onset,Text Embeddings
PC10,0.011657673,onset,Text Embeddings
PC12,0.01147614,onset,Text Embeddings
PC5,0.01063035,onset,Text Embeddings
excessive_force_against_protesters,0.0100222295,onset,Tabular ACLED Counts
PC16,0.009928375,onset,Text Embeddings
PC19,0.009350801,onset,Text Embeddings
attack,0.008953071,onset,Tabular ACLED Counts
PC7,0.008744388,onset,Text Embeddings
PC23,0.008660923,onset,Text Embeddings
PC4,0.008186142,onset,Text Embeddings
rolling_mean_6m,0.23851681,active,Structural Baseline (Rolling Stats)
rolling_std_6m,0.13712932,active,Structural Baseline (Rolling Stats)
PC3,0.06522162,active,Text Embeddings
PC13,0.061495442,active,Text Embeddings
rainfall_3m_anomaly,0.05834324,active,Rainfall
price_wheat_flour,0.041617375,active,Food Prices
armed_clash,0.03503744,active,Tabular ACLED Counts
looting_property_destruction,0.03252203,active,Tabular ACLED Counts
price_sorghum,0.029887972,active,Food Prices
PC11,0.029327117,active,Text Embeddings
peaceful_protest,0.026671872,active,Tabular ACLED Counts
price_millet,0.02650621,active,Food Prices
PC18,0.022599254,active,Text Embeddings
PC20,0.021970967,active,Text Embeddings
months_since_reading_sorghum,0.021274514,active,Food Prices
change_to_group_activity,0.017695857,active,Tabular ACLED Counts
PC21,0.016227784,active,Text Embeddings
PC8,0.015918804,active,Text Embeddings
PC12,0.014601661,active,Text Embeddings
PC10,0.013115597,active,Text Embeddings
PC15,0.012747834,active,Text Embeddings
PC16,0.011435689,active,Text Embeddings
PC1,0.011271473,active,Text Embeddings
PC24,0.009783207,active,Text Embeddings
PC5,0.009136126,active,Text Embeddings
PC23,0.0088890055,active,Text Embeddings
attack,0.008534821,active,Tabular ACLED Counts
PC4,0.008037305,active,Text Embeddings
PC7,0.0077542327,active,Text Embeddings
PC9,0.007089203,active,Text Embeddings
