feature,mean_abs_shap,dataset,category
rolling_mean_6m,0.2530339,train,Structural Baseline (Rolling Stats)
rolling_std_6m,0.1651772,train,Structural Baseline (Rolling Stats)
emb_263,0.057716455,train,Text Embeddings
emb_227,0.04442817,train,Text Embeddings
emb_325,0.032507215,train,Text Embeddings
rainfall_3m_anomaly,0.031436957,train,Rainfall
emb_52,0.027807757,train,Text Embeddings
emb_490,0.02686997,train,Text Embeddings
emb_741,0.025768971,train,Text Embeddings
price_sorghum,0.025527438,train,Food Prices
emb_586,0.023975974,train,Text Embeddings
emb_348,0.023954103,train,Text Embeddings
emb_75,0.023483317,train,Text Embeddings
emb_547,0.022789896,train,Text Embeddings
emb_249,0.022181176,train,Text Embeddings
emb_657,0.022167515,train,Text Embeddings
price_millet,0.020068964,train,Food Prices
emb_762,0.016628366,train,Text Embeddings
emb_512,0.016198983,train,Text Embeddings
emb_580,0.015726525,train,Text Embeddings
emb_144,0.015626235,train,Text Embeddings
emb_222,0.015552607,train,Text Embeddings
emb_30,0.015536657,train,Text Embeddings
emb_54,0.014436906,train,Text Embeddings
emb_210,0.014184198,train,Text Embeddings
emb_453,0.013840068,train,Text Embeddings
emb_636,0.013286024,train,Text Embeddings
emb_95,0.013274183,train,Text Embeddings
emb_575,0.011702544,train,Text Embeddings
emb_2,0.011670798,train,Text Embeddings
rolling_mean_6m,0.24041496,onset,Structural Baseline (Rolling Stats)
rolling_std_6m,0.20366374,onset,Structural Baseline (Rolling Stats)
emb_263,0.064064875,onset,Text Embeddings
emb_741,0.050319973,onset,Text Embeddings
emb_325,0.035350703,onset,Text Embeddings
emb_227,0.033451747,onset,Text Embeddings
emb_52,0.03275222,onset,Text Embeddings
emb_490,0.02685997,onset,Text Embeddings
rainfall_3m_anomaly,0.026041666,onset,Rainfall
emb_348,0.023923658,onset,Text Embeddings
emb_657,0.023546148,onset,Text Embeddings
emb_586,0.023279656,onset,Text Embeddings
emb_609,0.021610668,onset,Text Embeddings
emb_249,0.021482911,onset,Text Embeddings
emb_75,0.021442195,onset,Text Embeddings
emb_762,0.019264743,onset,Text Embeddings
emb_210,0.018954983,onset,Text Embeddings
emb_222,0.01812896,onset,Text Embeddings
price_millet,0.017755417,onset,Food Prices
emb_547,0.01773143,onset,Text Embeddings
emb_239,0.016444452,onset,Text Embeddings
price_sorghum,0.016275309,onset,Food Prices
emb_453,0.016149905,onset,Text Embeddings
emb_719,0.016014656,onset,Text Embeddings
emb_30,0.015827117,onset,Text Embeddings
emb_710,0.015435431,onset,Text Embeddings
emb_62,0.015213256,onset,Text Embeddings
emb_144,0.015107854,onset,Text Embeddings
emb_54,0.014838414,onset,Text Embeddings
emb_323,0.014660172,onset,Text Embeddings
rolling_mean_6m,0.22532433,active,Structural Baseline (Rolling Stats)
rolling_std_6m,0.21180078,active,Structural Baseline (Rolling Stats)
emb_263,0.06869475,active,Text Embeddings
emb_741,0.06848205,active,Text Embeddings
emb_52,0.038989633,active,Text Embeddings
emb_609,0.03820791,active,Text Embeddings
emb_227,0.033730146,active,Text Embeddings
emb_325,0.031245824,active,Text Embeddings
emb_490,0.028082868,active,Text Embeddings
rainfall_3m_anomaly,0.026664061,active,Rainfall
emb_249,0.026040342,active,Text Embeddings
emb_348,0.02512132,active,Text Embeddings
emb_657,0.024034087,active,Text Embeddings
price_millet,0.023482064,active,Food Prices
emb_75,0.023098066,active,Text Embeddings
emb_210,0.023005774,active,Text Embeddings
emb_547,0.022951214,active,Text Embeddings
emb_533,0.02177607,active,Text Embeddings
emb_586,0.0217018,active,Text Embeddings
emb_222,0.021374295,active,Text Embeddings
price_sorghum,0.020099387,active,Food Prices
emb_762,0.020054393,active,Text Embeddings
emb_239,0.01977454,active,Text Embeddings
emb_228,0.01944381,active,Text Embeddings
emb_453,0.01866336,active,Text Embeddings
emb_649,0.018586861,active,Text Embeddings
emb_719,0.018178454,active,Text Embeddings
emb_323,0.017338352,active,Text Embeddings
emb_62,0.017017014,active,Text Embeddings
emb_710,0.017004976,active,Text Embeddings
