feature,mean_abs_shap
rolling_mean_6m,0.2878825
rolling_std_6m,0.09858309
rainfall_3m_anomaly,0.075858414
PC3,0.058929
PC13,0.052425466
price_sorghum,0.047922578
price_millet,0.043204885
armed_clash,0.040701
price_wheat_flour,0.03331292
PC20,0.026337916
peaceful_protest,0.025369
PC11,0.024485353
PC18,0.022156905
excessive_force_against_protesters,0.020069202
looting_property_destruction,0.014953692
PC23,0.0113120945
PC16,0.011255505
PC7,0.01039797
PC21,0.010299699
PC1,0.010225293
PC15,0.00998268
PC12,0.009878397
PC22,0.009522575
PC19,0.009249851
PC5,0.008403088
PC10,0.008369944
PC4,0.007420622
PC24,0.006486918
attack,0.0059421514
PC8,0.0058082314
