run_name,run_id,data_version,threshold_fix_applied,price_recency,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,train_cv_aupr,train_cv_precision_class1,train_cv_recall_class1,train_cv_f1,train_prevalence_pct,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,seed
acled_sub_food_rain_conflict-text_seed-23_pca_0.25_4,b95dfb961fa24518bc4beef72c269843,acled_sub_food_rain_conflict-text_seed-23,True,True,True,True,True,True,True,0.25,4,sub_event_type,0.2702,59,0.3399,0.3076,0.9925,0.4696,30.09,0.4650,0.4245,0.9890,0.5941,0.3768,0.3704,1.0000,0.5405,0.6,5,2,5,5,0,0.1,5,0.6,1.0,0.25,4,sub_event_type,23
acled_sub_food_rain_conflict-text_seed-23_0.25_4,ab75a2efa9cc47af93bea06eefea1bcc,acled_sub_food_rain_conflict-text_seed-23,True,True,True,True,True,True,False,0.25,4,sub_event_type,0.3191,803,0.3518,0.3094,0.9925,0.4717,30.09,0.4932,0.4233,1.0000,0.5948,0.3916,0.3706,0.9938,0.5399,0.8,10,2,1,5,0,0.03,3,0.6,0.6,0.25,4,sub_event_type,23
acled_sub_food_rain_conflict-text_seed-23_pca_0.25_5,c8f9061a0a884d0da8d6b0b146233136,acled_sub_food_rain_conflict-text_seed-23,True,True,True,True,True,True,True,0.25,5,sub_event_type,0.3627,59,0.3483,0.3270,0.9253,0.4833,30.09,0.4125,0.4213,1.0000,0.5928,0.3585,0.3704,1.0000,0.5405,0.6,1,1,3,7,1,0.01,3,0.8,0.6,0.25,5,sub_event_type,23
acled_sub_food_rain_conflict-text_seed-23_0.25_5,daa556e2143b419e9f4ede9bf73b8762,acled_sub_food_rain_conflict-text_seed-23,True,True,True,True,True,True,False,0.25,5,sub_event_type,0.3501,803,0.3537,0.3169,0.9858,0.4797,30.09,0.4782,0.4213,1.0000,0.5928,0.3608,0.3704,1.0000,0.5405,0.6,10,0,1,7,1,0.01,3,1.0,1.0,0.25,5,sub_event_type,23
acled_sub_food_rain_all-text_seed-23_pca_0.25_4,d52c37c74d9c4cefbedbb0ad703b847f,acled_sub_food_rain_all-text_seed-23,True,True,True,True,True,False,True,0.25,4,sub_event_type,0.0505,85,0.3634,0.3071,1.0000,0.4699,30.09,0.3899,0.4213,1.0000,0.5928,0.3639,0.3704,1.0000,0.5405,0.8,1,1,3,3,1,0.1,3,1.0,0.6,0.25,4,sub_event_type,23
acled_sub_food_rain_all-text_seed-23_0.25_4,9734f504b23a4dc39714803f92854c98,acled_sub_food_rain_all-text_seed-23,True,True,True,True,True,False,False,0.25,4,sub_event_type,0.1863,803,0.3516,0.3309,0.8604,0.4780,30.09,0.3813,0.4206,0.9890,0.5902,0.4015,0.3704,1.0000,0.5405,1.0,5,0,1,7,5,0.1,3,0.6,0.6,0.25,4,sub_event_type,23
acled_sub_food_rain_all-text_seed-23_pca_0.25_5,dd920004e7cc418eacffd2d8f96a5e3c,acled_sub_food_rain_all-text_seed-23,True,True,True,True,True,False,True,0.25,5,sub_event_type,0.0103,85,0.3373,0.3122,1.0000,0.4759,30.09,0.4159,0.4213,1.0000,0.5928,0.3828,0.3704,1.0000,0.5405,1.0,1,0.1,3,3,5,0.1,1,0.6,1.0,0.25,5,sub_event_type,23
acled_sub_food_rain_all-text_seed-23_0.25_5,91646fbc51324828ad1c7d0b323c91e1,acled_sub_food_rain_all-text_seed-23,True,True,True,True,True,False,False,0.25,5,sub_event_type,0.3377,803,0.3434,0.3223,0.9359,0.4795,30.09,0.4096,0.4213,1.0000,0.5928,0.3869,0.3704,1.0000,0.5405,0.6,5,1,1,5,1,0.01,5,0.8,1.0,0.25,5,sub_event_type,23
acled_event_food_rain_conflict-text_seed-23_pca_0.25_4,3325cde58fe44ce4823c7f9dcea3955b,acled_event_food_rain_conflict-text_seed-23,True,True,True,True,True,True,True,0.25,4,event_type,0.3364,41,0.3370,0.3084,0.9962,0.4710,30.09,0.4144,0.4213,1.0000,0.5928,0.3441,0.3704,1.0000,0.5405,0.6,1,1,3,7,1,0.01,3,0.8,0.6,0.25,4,event_type,23
acled_event_food_rain_conflict-text_seed-23_0.25_4,0137b21cbed14d79ac640f2ec5411103,acled_event_food_rain_conflict-text_seed-23,True,True,True,True,True,True,False,0.25,4,event_type,0.2429,785,0.3467,0.3102,0.9962,0.4731,30.09,0.4841,0.4233,1.0000,0.5948,0.3781,0.3706,0.9938,0.5399,1.0,10,0.1,5,5,5,0.1,3,0.6,0.8,0.25,4,event_type,23
