run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,active_window_end,threshold_fix_applied
acled_sub_food_rain_text_conflict_pca_0.25_4,c0cf7ee2ad4a42e5bcb3f2d9f5db43d6,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.25,4,sub_event_type,0.247,56,0.4266,0.4233,1.0,0.5948,0.3998,0.4259,1.0,0.5974,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.25,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_0.25_4,9168691cdd7a43e9a772411e1265a240,acled_sub_food_rain_text_all,True,True,True,False,True,0.25,4,sub_event_type,0.029,75,0.4416,0.4213,1.0,0.5928,0.4213,0.4259,1.0,0.5974,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,0.25,4,sub_event_type,2024,False
acled_event_food_rain_text_conflict_pca_0.25_4,caa2fef35ad543b9af54726579c98f18,acled_event_food_rain_text_conflict,True,True,True,True,True,0.25,4,event_type,0.1302,38,0.4104,0.4245,0.989,0.5941,0.4312,0.4259,1.0,0.5974,0.6,1,2.0,5,3,0,0.1,3,1.0,0.8,0.25,4,event_type,2024,False
acled_event_food_rain_text_all_pca_0.25_4,ec5b38251c944f0a980be616f72aa8bc,acled_event_food_rain_text_all,True,True,True,False,True,0.25,4,event_type,0.1709,57,0.4199,0.4213,1.0,0.5928,0.4116,0.4259,1.0,0.5974,1.0,5,0.1,1,5,0,0.1,3,0.8,0.8,0.25,4,event_type,2024,False
acled_sub_food_rain_text_conflict_pca_0.5_4,4ddbff406f124e11858ebf40b024af68,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.5,4,sub_event_type,0.1355,56,0.3671,0.3704,1.0,0.5405,0.3458,0.3796,1.0,0.5503,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,0.5,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_0.5_4,c984ed153ccb42d89a71626271338497,acled_sub_food_rain_text_all,True,True,True,False,True,0.5,4,sub_event_type,0.0799,75,0.3459,0.3721,1.0,0.5424,0.3446,0.3814,1.0,0.5522,0.6,10,1.0,1,5,5,0.1,1,0.6,0.8,0.5,4,sub_event_type,2024,False
acled_event_food_rain_text_conflict_pca_0.5_4,c8db2900593046b89524115417a96387,acled_event_food_rain_text_conflict,True,True,True,True,True,0.5,4,event_type,0.1904,38,0.3712,0.3704,1.0,0.5405,0.3766,0.3796,1.0,0.5503,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.5,4,event_type,2024,False
acled_event_food_rain_text_all_pca_0.5_4,6cbfdcf710b94ceeb7324cb6f40b1696,acled_event_food_rain_text_all,True,True,True,False,True,0.5,4,event_type,0.1255,57,0.3354,0.3704,1.0,0.5405,0.3762,0.3796,1.0,0.5503,0.6,1,1.0,1,3,1,0.05,3,0.8,0.8,0.5,4,event_type,2024,False
acled_sub_food_rain_text_conflict_pca_1_4,71bc63381d3a4c799c0a250b711f47c1,acled_sub_food_rain_text_conflict,True,True,True,True,True,1.0,4,sub_event_type,0.3842,56,0.3572,0.3088,0.6364,0.4158,0.3628,0.3026,0.7931,0.4381,0.6,10,2.0,5,3,1,0.05,5,0.6,0.8,1.0,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_1_4,7d338c1f198a4fc49bdf5b24057648a6,acled_sub_food_rain_text_all,True,True,True,False,True,1.0,4,sub_event_type,0.2978,75,0.328,0.3097,0.7273,0.4344,0.374,0.2846,0.6034,0.3867,0.8,1,0.0,5,3,5,0.03,5,1.0,0.6,1.0,4,sub_event_type,2024,False
