run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,threshold_fix_applied,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_rain_text_conflict_pca_0.5_4,83a1bc30f83e430eb6c3474d5beb661d,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.5,False,4,sub_event_type,0.3080,56,0.3551,0.3558,0.7250,0.4774,0.3464,0.3384,0.7943,0.4746,0.6,10,0,5,7,0,0.05,5,1.0,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_conflict_0.5_4,f8b26dd33c3b4bf7847d4723fa0bf573,acled_sub_food_rain_text_conflict,True,True,True,True,False,0.5,False,4,sub_event_type,0.0797,800,0.3808,0.3704,1.0000,0.5405,0.3534,0.3264,1.0000,0.4921,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,4,sub_event_type
acled_sub_food_rain_text_conflict_pca_0.5_5,56d141aec4f64c5a9f28b5fe892d303d,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.5,False,5,sub_event_type,0.1144,56,0.3622,0.3679,0.9750,0.5342,0.3569,0.3317,0.9645,0.4936,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.5,5,sub_event_type
acled_sub_food_rain_text_conflict_0.5_5,2e6f2f25d0f048c2a844e58ebea52259,acled_sub_food_rain_text_conflict,True,True,True,True,False,0.5,False,5,sub_event_type,0.2150,800,0.4030,0.3861,0.9750,0.5532,0.3007,0.3263,0.9929,0.4912,0.6,10,2,1,7,0,0.05,0,0.8,1.0,0.5,5,sub_event_type
acled_sub_food_rain_text_all_pca_0.5_4,92ce814b29b741388ed6cf1bb0892a9e,acled_sub_food_rain_text_all,True,True,True,False,True,0.5,False,4,sub_event_type,0.1592,82,0.3251,0.3704,1.0000,0.5405,0.3428,0.3264,1.0000,0.4921,1.0,10,0,5,7,5,0.03,1,0.8,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_all_0.5_4,95f9f2720e6945b79a7db4f8e0ec97e0,acled_sub_food_rain_text_all,True,True,True,False,False,0.5,False,4,sub_event_type,0.2165,800,0.3680,0.3676,0.9375,0.5282,0.3411,0.3333,0.8723,0.4824,0.6,1,0.1,1,5,5,0.03,5,1.0,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_all_pca_0.5_5,c801ceaddc754c0b9525b3371df24993,acled_sub_food_rain_text_all,True,True,True,False,True,0.5,False,5,sub_event_type,0.1240,82,0.3134,0.3704,1.0000,0.5405,0.3475,0.3264,1.0000,0.4921,1.0,10,0.1,5,5,5,0.1,3,0.6,0.8,0.5,5,sub_event_type
acled_sub_food_rain_text_all_0.5_5,aeb6f340575b42278da8a6782be1489c,acled_sub_food_rain_text_all,True,True,True,False,False,0.5,False,5,sub_event_type,0.1895,800,0.3783,0.3704,1.0000,0.5405,0.3620,0.3264,1.0000,0.4921,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.5,5,sub_event_type
acled_event_food_rain_text_conflict_pca_0.5_4,ea43fb9be4e44962b4b6e28b47ddb422,acled_event_food_rain_text_conflict,True,True,True,True,True,0.5,False,4,event_type,0.2077,38,0.3350,0.3498,0.8875,0.5018,0.3560,0.3206,0.9504,0.4794,0.6,1,0,5,7,0,0.03,5,0.8,0.6,0.5,4,event_type
acled_event_food_rain_text_conflict_0.5_4,18c28e7c0a3746849f7941d806c3103f,acled_event_food_rain_text_conflict,True,True,True,True,False,0.5,False,4,event_type,0.2176,782,0.3860,0.3721,1.0000,0.5424,0.3438,0.3248,0.9929,0.4895,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,event_type
