run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_rain_text_conflict_pca_0.25_4,83d5ccc225f84d7aa47b44e4cb50e2de,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,0.25,4,sub_event_type,0.1919,56,0.4484,0.4213,1.0000,0.5928,0.3660,0.3704,1.0000,0.5405,0.6,10,2,1,7,0,0.05,0,0.8,1.0,0.25,4,sub_event_type
acled_sub_food_rain_text_conflict_0.25_4,eacff099caec4f0db916347b30b662cf,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,0.25,4,sub_event_type,0.3316,800,0.4915,0.4252,1.0000,0.5967,0.3755,0.3698,0.9938,0.5390,0.8,10,2,3,7,5,0.03,5,1.0,0.8,0.25,4,sub_event_type
acled_sub_food_rain_text_conflict_pca_0.25_5,d0fc20bf0f2642e788bdb6c79d46b136,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,0.25,5,sub_event_type,0.2293,56,0.4267,0.4233,1.0000,0.5948,0.3696,0.3704,1.0000,0.5405,0.6,5,2,1,5,1,0.05,1,0.6,0.6,0.25,5,sub_event_type
acled_sub_food_rain_text_conflict_0.25_5,a4a72282a3b141a39c02f61c6af0fa6f,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,0.25,5,sub_event_type,0.3501,800,0.4753,0.4213,1.0000,0.5928,0.3609,0.3704,1.0000,0.5405,0.6,10,0,1,7,1,0.01,3,1.0,1.0,0.25,5,sub_event_type
acled_sub_food_rain_text_all_pca_0.25_4,dfe76d1554ce47b2bc0a167f8aa6bdcc,acled_sub_food_rain_text_all,False,True,True,True,False,True,0.25,4,sub_event_type,0.1636,82,0.3622,0.4213,1.0000,0.5928,0.3960,0.3704,1.0000,0.5405,1.0,10,2,5,5,5,0.05,1,0.6,0.6,0.25,4,sub_event_type
acled_sub_food_rain_text_all_0.25_4,4bd7e2cf3ec849999c288fea386dd8ca,acled_sub_food_rain_text_all,False,True,True,True,False,False,0.25,4,sub_event_type,0.1336,800,0.3813,0.4213,1.0000,0.5928,0.4325,0.3704,1.0000,0.5405,1.0,5,0.1,5,5,0,0.03,1,1.0,1.0,0.25,4,sub_event_type
acled_sub_food_rain_text_all_pca_0.25_5,5f60502220734fc99df2457aaf2a8681,acled_sub_food_rain_text_all,False,True,True,True,False,True,0.25,5,sub_event_type,0.0313,82,0.3919,0.4213,1.0000,0.5928,0.3703,0.3704,1.0000,0.5405,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.25,5,sub_event_type
acled_sub_food_rain_text_all_0.25_5,ac74706295b146859b059a125579caa8,acled_sub_food_rain_text_all,False,True,True,True,False,False,0.25,5,sub_event_type,0.3617,800,0.4274,0.4213,1.0000,0.5928,0.3593,0.3704,1.0000,0.5405,0.6,10,0.1,5,5,5,0.01,1,0.6,0.8,0.25,5,sub_event_type
acled_event_food_rain_text_conflict_pca_0.25_4,33b0572ae330452c9d149f32972248ab,acled_event_food_rain_text_conflict,False,True,True,True,True,True,0.25,4,event_type,0.1830,38,0.4272,0.4279,0.9780,0.5953,0.3685,0.3712,1.0000,0.5415,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.25,4,event_type
acled_event_food_rain_text_conflict_0.25_4,c423cfaf83714b2da69bbe267485d3a5,acled_event_food_rain_text_conflict,False,True,True,True,True,False,0.25,4,event_type,0.3856,782,0.4798,0.4233,1.0000,0.5948,0.3823,0.3704,1.0000,0.5405,1.0,10,2,3,7,1,0.01,1,0.6,0.6,0.25,4,event_type
acled_event_food_rain_text_conflict_pca_0.25_5,86923ff148fe4d90b59154adac40c13f,acled_event_food_rain_text_conflict,False,True,True,True,True,True,0.25,5,event_type,0.1745,38,0.4234,0.4213,1.0000,0.5928,0.3849,0.3704,1.0000,0.5405,0.8,10,0.1,1,5,0,0.05,1,1.0,0.8,0.25,5,event_type
acled_event_food_rain_text_conflict_0.25_5,ef91dfb53652452a84c543fd87a7c936,acled_event_food_rain_text_conflict,False,True,True,True,True,False,0.25,5,event_type,0.1682,782,0.4775,0.4213,1.0000,0.5928,0.3664,0.3704,1.0000,0.5405,0.8,10,1,5,7,1,0.1,3,0.6,0.8,0.25,5,event_type
acled_event_food_rain_text_all_pca_0.25_4,521e896b09b044c388fd2808b9c6b580,acled_event_food_rain_text_all,False,True,True,True,False,True,0.25,4,event_type,0.2052,64,0.4165,0.4213,1.0000,0.5928,0.3813,0.3704,1.0000,0.5405,1.0,1,2,5,3,0,0.05,0,0.8,0.8,0.25,4,event_type
acled_event_food_rain_text_all_0.25_4,6be890d414c94e4da7ce14c5a17a78b6,acled_event_food_rain_text_all,False,True,True,True,False,False,0.25,4,event_type,0.1869,782,0.4029,0.4213,1.0000,0.5928,0.4292,0.3704,1.0000,0.5405,1.0,10,1,5,7,1,0.03,1,1.0,0.6,0.25,4,event_type
acled_event_food_rain_text_all_pca_0.25_5,3afd1bc56d2443fa8adc77fc234b4332,acled_event_food_rain_text_all,False,True,True,True,False,True,0.25,5,event_type,0.0954,64,0.3829,0.4213,1.0000,0.5928,0.3886,0.3704,1.0000,0.5405,1.0,5,0,1,3,5,0.1,0,1.0,0.6,0.25,5,event_type
acled_event_food_rain_text_all_0.25_5,25d9a64d6b584912a3f0a30bad0c40bc,acled_event_food_rain_text_all,False,True,True,True,False,False,0.25,5,event_type,0.3428,782,0.4076,0.4213,1.0000,0.5928,0.3856,0.3704,1.0000,0.5405,0.8,10,0.1,3,3,5,0.01,3,1.0,0.8,0.25,5,event_type
acled_sub_food_rain_text_conflict_pca_0.5_4,6a2b3eb874db4a82bf61d794d55f2a87,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,0.5,4,sub_event_type,0.3080,56,0.3551,0.3558,0.7250,0.4774,0.3464,0.3384,0.7943,0.4746,0.6,10,0,5,7,0,0.05,5,1.0,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_conflict_0.5_4,e663232b6d4944b68a1f5f13822123ed,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,0.5,4,sub_event_type,0.0797,800,0.3808,0.3704,1.0000,0.5405,0.3534,0.3264,1.0000,0.4921,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,4,sub_event_type
acled_sub_food_rain_text_conflict_pca_0.5_5,3fff46a6d69541dc8435474c01bb9f3a,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,0.5,5,sub_event_type,0.1144,56,0.3622,0.3679,0.9750,0.5342,0.3569,0.3317,0.9645,0.4936,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.5,5,sub_event_type
acled_sub_food_rain_text_conflict_0.5_5,f28430d77d804c16b97f9d2bee20a1b4,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,0.5,5,sub_event_type,0.2150,800,0.4030,0.3861,0.9750,0.5532,0.3007,0.3263,0.9929,0.4912,0.6,10,2,1,7,0,0.05,0,0.8,1.0,0.5,5,sub_event_type
acled_sub_food_rain_text_all_pca_0.5_4,778423913b164db7b418fc143ec6de24,acled_sub_food_rain_text_all,False,True,True,True,False,True,0.5,4,sub_event_type,0.1592,82,0.3251,0.3704,1.0000,0.5405,0.3428,0.3264,1.0000,0.4921,1.0,10,0,5,7,5,0.03,1,0.8,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_all_0.5_4,0b54f729603d41c295f2ebe42e4dc708,acled_sub_food_rain_text_all,False,True,True,True,False,False,0.5,4,sub_event_type,0.2165,800,0.3680,0.3676,0.9375,0.5282,0.3411,0.3333,0.8723,0.4824,0.6,1,0.1,1,5,5,0.03,5,1.0,1.0,0.5,4,sub_event_type
acled_sub_food_rain_text_all_pca_0.5_5,aca0c63963b149919de99c4d2289f4ff,acled_sub_food_rain_text_all,False,True,True,True,False,True,0.5,5,sub_event_type,0.1240,82,0.3134,0.3704,1.0000,0.5405,0.3475,0.3264,1.0000,0.4921,1.0,10,0.1,5,5,5,0.1,3,0.6,0.8,0.5,5,sub_event_type
acled_sub_food_rain_text_all_0.5_5,b99e096d89e14e6995bf0331898b3286,acled_sub_food_rain_text_all,False,True,True,True,False,False,0.5,5,sub_event_type,0.1895,800,0.3783,0.3704,1.0000,0.5405,0.3620,0.3264,1.0000,0.4921,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.5,5,sub_event_type
acled_event_food_rain_text_conflict_pca_0.5_4,a7c350f0abac4268b73b59476e1fc483,acled_event_food_rain_text_conflict,False,True,True,True,True,True,0.5,4,event_type,0.2077,38,0.3350,0.3498,0.8875,0.5018,0.3560,0.3206,0.9504,0.4794,0.6,1,0,5,7,0,0.03,5,0.8,0.6,0.5,4,event_type
acled_event_food_rain_text_conflict_0.5_4,e2f011065dfa4d32811590cc8b36a442,acled_event_food_rain_text_conflict,False,True,True,True,True,False,0.5,4,event_type,0.2176,782,0.3860,0.3721,1.0000,0.5424,0.3438,0.3248,0.9929,0.4895,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,event_type
acled_event_food_rain_text_conflict_pca_0.5_5,15e62f19c7524417a8053d93e39b21b7,acled_event_food_rain_text_conflict,False,True,True,True,True,True,0.5,5,event_type,0.1468,38,0.3283,0.3721,1.0000,0.5424,0.3332,0.3294,0.9858,0.4938,1.0,5,0.1,1,5,0,0.1,3,0.8,0.8,0.5,5,event_type
acled_event_food_rain_text_conflict_0.5_5,a261db2eda1f42daa7495200a23b3ce4,acled_event_food_rain_text_conflict,False,True,True,True,True,False,0.5,5,event_type,0.2085,782,0.3622,0.3883,1.0000,0.5594,0.3494,0.3301,0.9716,0.4928,0.8,5,1,5,5,1,0.05,0,1.0,0.8,0.5,5,event_type
acled_event_food_rain_text_all_pca_0.5_4,f09abb15e4364f34affdbe863629655e,acled_event_food_rain_text_all,False,True,True,True,False,True,0.5,4,event_type,0.0730,64,0.3241,0.3704,1.0000,0.5405,0.3386,0.3264,1.0000,0.4921,0.8,5,1,3,5,1,0.05,0,0.6,0.6,0.5,4,event_type
acled_event_food_rain_text_all_0.5_4,7d52ec54c7a44dba803b678f0e1ca9e6,acled_event_food_rain_text_all,False,True,True,True,False,False,0.5,4,event_type,0.1997,782,0.3642,0.3641,0.9375,0.5245,0.3537,0.3377,0.9149,0.4933,0.6,1,0.1,1,5,5,0.03,5,1.0,1.0,0.5,4,event_type
acled_event_food_rain_text_all_pca_0.5_5,64034d0809a443808226568b5d841670,acled_event_food_rain_text_all,False,True,True,True,False,True,0.5,5,event_type,0.0309,64,0.3449,0.3704,1.0000,0.5405,0.3646,0.3264,1.0000,0.4921,0.6,1,1,3,5,0,0.1,5,0.6,1.0,0.5,5,event_type
acled_event_food_rain_text_all_0.5_5,7a5873b0029a4c1a8e28080dbd04fbcc,acled_event_food_rain_text_all,False,True,True,True,False,False,0.5,5,event_type,0.0513,782,0.3224,0.3704,1.0000,0.5405,0.3785,0.3264,1.0000,0.4921,0.8,10,1,5,7,1,0.1,3,1.0,1.0,0.5,5,event_type
acled_sub_food_rain_text_conflict_pca_1_4,8859d8da530545118ed6c208d74e086a,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,1,4,sub_event_type,0.3411,56,0.3637,0.3411,0.6667,0.4513,0.3010,0.2554,0.8557,0.3934,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,sub_event_type
acled_sub_food_rain_text_conflict_1_4,98067985e6204b06ab0f12c78cef75f2,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,1,4,sub_event_type,0.4167,800,0.3769,0.3216,0.8333,0.4641,0.2921,0.2445,0.9175,0.3861,0.8,10,0.1,3,3,5,0.01,3,1.0,0.8,1,4,sub_event_type
acled_sub_food_rain_text_conflict_pca_1_5,2dfd9b790bda46c2bb428cbc7dc6eb8d,acled_sub_food_rain_text_conflict,False,True,True,True,True,True,1,5,sub_event_type,0.2261,56,0.3653,0.3006,0.7424,0.4279,0.3333,0.2586,0.7010,0.3778,1.0,1,0.1,5,3,0,0.03,0,0.8,0.6,1,5,sub_event_type
acled_sub_food_rain_text_conflict_1_5,9aa568426c5f4f8ab33b709cd5514184,acled_sub_food_rain_text_conflict,False,True,True,True,True,False,1,5,sub_event_type,0.1401,800,0.3549,0.3056,1.0000,0.4681,0.2661,0.2245,1.0000,0.3667,0.6,10,2,5,3,1,0.05,5,0.6,0.8,1,5,sub_event_type
acled_sub_food_rain_text_all_pca_1_4,024b8e3bc46a4ada94272e1da5ab9790,acled_sub_food_rain_text_all,False,True,True,True,False,True,1,4,sub_event_type,0.1644,82,0.2872,0.3128,1.0000,0.4765,0.3260,0.2270,0.9897,0.3692,0.8,10,1,1,7,0,0.05,5,0.6,1.0,1,4,sub_event_type
acled_sub_food_rain_text_all_1_4,43615bdc224144088f86d163a0946d23,acled_sub_food_rain_text_all,False,True,True,True,False,False,1,4,sub_event_type,0.2368,800,0.3029,0.3054,0.9394,0.4610,0.2622,0.2291,0.9897,0.3721,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,1,4,sub_event_type
acled_sub_food_rain_text_all_pca_1_5,cd85815232cc4fa39b2c17f39fb6b70b,acled_sub_food_rain_text_all,False,True,True,True,False,True,1,5,sub_event_type,0.1570,82,0.3070,0.2872,0.8485,0.4291,0.2644,0.2394,0.8763,0.3761,0.8,10,1,5,7,1,0.1,3,0.6,0.8,1,5,sub_event_type
acled_sub_food_rain_text_all_1_5,9f0295092f4f4cea921de99f89cb2fa1,acled_sub_food_rain_text_all,False,True,True,True,False,False,1,5,sub_event_type,0.1661,800,0.3559,0.3131,0.9394,0.4697,0.2666,0.2314,0.9278,0.3704,0.6,10,2,1,7,0,0.05,0,0.8,1.0,1,5,sub_event_type
acled_event_food_rain_text_conflict_pca_1_4,9d73c5245b144fb29d50b83dfc1b4424,acled_event_food_rain_text_conflict,False,True,True,True,True,True,1,4,event_type,0.2428,38,0.3156,0.3094,0.6515,0.4195,0.3073,0.2432,0.7423,0.3664,0.6,5,2,5,7,0,0.1,1,0.6,0.6,1,4,event_type
acled_event_food_rain_text_conflict_1_4,377e450a53e548f7800678749676aaf5,acled_event_food_rain_text_conflict,False,True,True,True,True,False,1,4,event_type,0.4297,782,0.3616,0.2993,0.6667,0.4131,0.2834,0.2795,0.6598,0.3926,1.0,5,1,5,3,5,0.01,5,0.6,1.0,1,4,event_type
acled_event_food_rain_text_conflict_pca_1_5,ba34749c00214556ac9a26af5d23faef,acled_event_food_rain_text_conflict,False,True,True,True,True,True,1,5,event_type,0.1054,38,0.3056,0.3141,0.9091,0.4669,0.3042,0.2381,0.9278,0.3789,1.0,5,0,1,3,5,0.1,0,1.0,0.6,1,5,event_type
acled_event_food_rain_text_conflict_1_5,d636a7a083cf414b951423e2ee1f22e2,acled_event_food_rain_text_conflict,False,True,True,True,True,False,1,5,event_type,0.3545,782,0.3441,0.3239,0.6970,0.4423,0.2426,0.2508,0.8144,0.3835,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,5,event_type
acled_event_food_rain_text_all_pca_1_4,973499cf6bd7410991f1ef2fb8fe57c5,acled_event_food_rain_text_all,False,True,True,True,False,True,1,4,event_type,0.0814,64,0.2788,0.3056,1.0000,0.4681,0.2903,0.2245,1.0000,0.3667,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,event_type
acled_event_food_rain_text_all_1_4,ea13470d19c640118180a0b8e8aaec4d,acled_event_food_rain_text_all,False,True,True,True,False,False,1,4,event_type,0.0946,782,0.3150,0.2899,0.7424,0.4170,0.2494,0.2368,0.7835,0.3636,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,1,4,event_type
acled_event_food_rain_text_all_pca_1_5,5921e59516a949269d58023e330f0db4,acled_event_food_rain_text_all,False,True,True,True,False,True,1,5,event_type,0.0120,64,0.2928,0.3056,1.0000,0.4681,0.2900,0.2245,1.0000,0.3667,0.8,1,0.1,1,5,5,0.05,1,0.8,0.8,1,5,event_type
acled_event_food_rain_text_all_1_5,e60e4f322eee4046ba6d699c388c67ad,acled_event_food_rain_text_all,False,True,True,True,False,False,1,5,event_type,0.0939,782,0.3020,0.3056,1.0000,0.4681,0.2567,0.2245,1.0000,0.3667,0.6,10,0,1,3,5,0.05,3,1.0,0.6,1,5,event_type
acled_sub_food_rain_0.25_4,781a268927bf453d9cc3f2e1b9caa76e,acled_sub_food_rain,False,True,True,False,False,False,0.25,4,sub_event_type,0.3733,31,0.4276,0.4146,0.9341,0.5743,0.3607,0.3726,0.9875,0.5411,0.6,10,0,5,7,0,0.05,5,1.0,1.0,0.25,4,sub_event_type
acled_sub_food_rain_0.25_5,a885706490774f4abf5801bbc73c3ff3,acled_sub_food_rain,False,True,True,False,False,False,0.25,5,sub_event_type,0.3359,31,0.3856,0.4256,0.9121,0.5804,0.4183,0.3569,0.7875,0.4912,1.0,1,0,3,7,5,0.01,3,1.0,1.0,0.25,5,sub_event_type
acled_event_food_rain_0.25_4,c59837a02e2f4bbfaf18b8f6a49ca919,acled_event_food_rain,False,True,True,False,False,False,0.25,4,event_type,0.3932,13,0.3837,0.4213,1.0000,0.5928,0.4082,0.3704,1.0000,0.5405,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.25,4,event_type
acled_event_food_rain_0.25_5,55ce53c4162a45e8a19ee578b0813488,acled_event_food_rain,False,True,True,False,False,False,0.25,5,event_type,0.2687,13,0.4183,0.4213,1.0000,0.5928,0.3892,0.3689,0.9938,0.5381,1.0,5,0.1,3,3,1,0.03,0,1.0,0.6,0.25,5,event_type
acled_sub_food_rain_0.5_4,e85847940b7f4b908c29001a30a8985b,acled_sub_food_rain,False,True,True,False,False,False,0.5,4,sub_event_type,0.3460,31,0.3446,0.3404,0.8000,0.4776,0.3604,0.3350,0.9716,0.4982,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,sub_event_type
acled_sub_food_rain_0.5_5,36cc773aa6a34cdda45dc0a2af80fff5,acled_sub_food_rain,False,True,True,False,False,False,0.5,5,sub_event_type,0.3786,31,0.3562,0.3444,0.6500,0.4502,0.3713,0.3358,0.6312,0.4384,0.8,5,2,5,7,5,0.05,5,1.0,0.6,0.5,5,sub_event_type
acled_event_food_rain_0.5_4,d5c5ecec028e4476b200ffcceef85748,acled_event_food_rain,False,True,True,False,False,False,0.5,4,event_type,0.3837,13,0.3347,0.3439,0.6750,0.4557,0.3923,0.3296,0.6312,0.4331,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
