run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,price_recency,optimal_threshold,n_predictors,train_cv_aupr,train_cv_f1,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,seed
acled_sub_food_rain_text_conflict_price-recency_threshold_change_32_pca_1.75_5,7b19151047d44be883a80eee26d12162,acled_sub_food_rain_text_conflict_price-recency_threshold_change_32,True,True,True,True,True,True,1.75,5,sub_event_type,True,0.4402,59,0.2117,0.3118,0.3485,0.3721,0.3265,0.3478,0.1658,0.1682,0.3103,0.2182,1.0,10,0.1,1,7,1,0.01,1,0.8,1.0,1.75,5,sub_event_type,32
acled_sub_food_rain_text_conflict_price-recency_threshold_change_32_1.75_5,fcaa661cb029466b8012a0908ffc8b73,acled_sub_food_rain_text_conflict_price-recency_threshold_change_32,True,True,True,True,True,False,1.75,5,sub_event_type,True,0.4090,803,0.2322,0.3214,0.3666,0.2900,0.5918,0.3893,0.1661,0.1639,0.6897,0.2649,1.0,10,0.1,1,7,1,0.01,1,0.8,1.0,1.75,5,sub_event_type,32
acled_sub_food_rain_text_all_price-recency_threshold_change_32_pca_1.75_5,c3da04bdf13747dd823931b551d0d2e5,acled_sub_food_rain_text_all_price-recency_threshold_change_32,True,True,True,True,False,True,1.75,5,sub_event_type,True,0.4411,85,0.2006,0.2896,0.3224,0.2542,0.6122,0.3593,0.2075,0.1699,0.7586,0.2776,0.8,10,1,1,5,1,0.01,1,0.6,0.6,1.75,5,sub_event_type,32
acled_sub_food_rain_text_all_price-recency_threshold_change_32_1.75_5,916cb1e6ed1349e09770f03e980e6893,acled_sub_food_rain_text_all_price-recency_threshold_change_32,True,True,True,True,False,False,1.75,5,sub_event_type,True,0.3889,803,0.1936,0.2909,0.3377,0.2361,0.6939,0.3523,0.1669,0.1205,0.6379,0.2027,0.8,10,2,3,5,5,0.01,0,1.0,0.8,1.75,5,sub_event_type,32
acled_sub_food_rain_text_conflict_price-recency_threshold_change_111_pca_1.75_5,607c9533acff41cb929663d8c1e46efa,acled_sub_food_rain_text_conflict_price-recency_threshold_change_111,True,True,True,True,True,True,1.75,5,sub_event_type,True,0.4040,59,0.2243,0.3251,0.3341,0.3455,0.3878,0.3654,0.1736,0.1827,0.3276,0.2346,0.6,10,1,1,3,0,0.03,1,0.6,1.0,1.75,5,sub_event_type,111
acled_sub_food_rain_text_conflict_price-recency_threshold_change_111_1.75_5,f1fe4509d0924244aee84e5008d19bc1,acled_sub_food_rain_text_conflict_price-recency_threshold_change_111,True,True,True,True,True,False,1.75,5,sub_event_type,True,0.4092,803,0.2369,0.3288,0.3189,0.2632,0.3061,0.2830,0.1562,0.1639,0.3448,0.2222,0.6,10,1,1,3,0,0.03,1,0.6,1.0,1.75,5,sub_event_type,111
acled_sub_food_rain_text_all_price-recency_threshold_change_111_pca_1.75_5,13c9551f427b45eaab6595230086d705,acled_sub_food_rain_text_all_price-recency_threshold_change_111,True,True,True,True,False,True,1.75,5,sub_event_type,True,0.1972,85,0.1935,0.2730,0.2814,0.2398,0.8367,0.3727,0.1800,0.1420,0.8448,0.2432,1.0,10,0,1,7,5,0.1,5,0.6,1.0,1.75,5,sub_event_type,111
acled_sub_food_rain_text_all_price-recency_threshold_change_111_1.75_5,b39d3ce43f51416688055e2abe949bb2,acled_sub_food_rain_text_all_price-recency_threshold_change_111,True,True,True,True,False,False,1.75,5,sub_event_type,True,0.3400,803,0.1911,0.2852,0.3370,0.2500,0.7755,0.3781,0.1660,0.1413,0.8966,0.2441,1.0,10,0,1,7,0,0.01,5,1.0,0.8,1.75,5,sub_event_type,111
acled_sub_food_rain_text_conflict_price-recency_threshold_change_2025_pca_1.75_5,24004a33e9254bd8a0dded43f0103e69,acled_sub_food_rain_text_conflict_price-recency_threshold_change_2025,True,True,True,True,True,True,1.75,5,sub_event_type,True,0.2020,59,0.2130,0.2909,0.3396,0.2718,0.5714,0.3684,0.2168,0.2267,0.5862,0.3269,1.0,1,0.1,1,7,1,0.05,5,0.8,0.6,1.75,5,sub_event_type,2025
acled_sub_food_rain_text_conflict_price-recency_threshold_change_2025_1.75_5,0379bdaec80e429ca32fe52d66373be3,acled_sub_food_rain_text_conflict_price-recency_threshold_change_2025,True,True,True,True,True,False,1.75,5,sub_event_type,True,0.4573,803,0.2285,0.3323,0.3208,0.5625,0.1837,0.2769,0.1642,0.2000,0.0172,0.0317,0.6,10,2,1,5,5,0.01,3,1.0,1.0,1.75,5,sub_event_type,2025
