run_folder,run_name,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,food,rain,text,conflict_text,pca,k,n
3caf6941b0a54e48a96f6ac37188ef3f,acled_sub_food_rain_text_conflict_pca_0.25_4,0.3174,57,0.4277,0.4213,1.0,0.5928,0.4177,0.4259,1.0,0.5974,True,True,True,True,True,0.25,4
1b5093fa358145c09c70b94a4bd08413,acled_sub_food_rain_text_conflict_0.25_4,0.4213,801,0.5101,0.4213,1.0,0.5928,0.418,0.4259,1.0,0.5974,True,True,True,True,False,0.25,4
855e0ce64a804171944499c8138e87d4,acled_sub_food_rain_text_conflict_pca_0.25_5,0.1409,57,0.3908,0.4292,1.0,0.6007,0.3997,0.4396,0.9891,0.6087,True,True,True,True,True,0.25,5
77c398bfb8d74293a0e600e199c29402,acled_sub_food_rain_text_conflict_0.25_5,0.3445,801,0.4271,0.4213,1.0,0.5928,0.4109,0.4259,1.0,0.5974,True,True,True,True,False,0.25,5
de95ae38455f45ada5a8d9cd2a9cefde,acled_sub_food_rain_text_all_pca_0.25_4,0.1588,76,0.455,0.4213,1.0,0.5928,0.4485,0.4259,1.0,0.5974,True,True,True,False,True,0.25,4
b868d0d8a9924f7ba723a894abc7d1b0,acled_sub_food_rain_text_all_0.25_4,0.1252,801,0.4048,0.4213,1.0,0.5928,0.4038,0.4259,1.0,0.5974,True,True,True,False,False,0.25,4
17dfaa73577649918829e2262c35f384,acled_sub_food_rain_text_all_pca_0.25_5,0.1557,76,0.455,0.4213,1.0,0.5928,0.4485,0.4259,1.0,0.5974,True,True,True,False,True,0.25,5
6e6db62d98b643b0b05c961c2e0ee81a,acled_sub_food_rain_text_all_0.25_5,0.1617,801,0.4292,0.4213,1.0,0.5928,0.4587,0.4259,1.0,0.5974,True,True,True,False,False,0.25,5
1f971d2322f7499e9cba377db57849be,acled_event_food_rain_text_conflict_pca_0.25_4,0.2408,39,0.3867,0.4213,1.0,0.5928,0.4313,0.4259,1.0,0.5974,True,True,True,True,True,0.25,4
675635a5e1124dbd83ef680c9686cb9a,acled_event_food_rain_text_conflict_0.25_4,0.2464,783,0.4282,0.4206,0.989,0.5902,0.438,0.4259,1.0,0.5974,True,True,True,True,False,0.25,4
c9bec59814544964a9ab340edc2c97c4,acled_event_food_rain_text_conflict_pca_0.25_5,0.1103,39,0.4531,0.4252,1.0,0.5967,0.4534,0.4313,0.9891,0.6007,True,True,True,True,True,0.25,5
2f726a2887b245f0bea068f25d41de41,acled_event_food_rain_text_conflict_0.25_5,0.3702,783,0.5082,0.4213,1.0,0.5928,0.421,0.4259,1.0,0.5974,True,True,True,True,False,0.25,5
7d8ef14f39b740d1bf095719dbf09d7c,acled_event_food_rain_text_all_pca_0.25_4,0.104,58,0.4285,0.4213,1.0,0.5928,0.4151,0.4259,1.0,0.5974,True,True,True,False,True,0.25,4
44bc95b2bb0d42009c71c30dbb2e0791,acled_event_food_rain_text_all_0.25_4,0.1741,783,0.3799,0.4272,1.0,0.5987,0.3906,0.4259,1.0,0.5974,True,True,True,False,False,0.25,4
56f6ccb69f79433cb9d8a575f54a0867,acled_event_food_rain_text_all_pca_0.25_5,0.0733,58,0.4037,0.4213,1.0,0.5928,0.4117,0.4259,1.0,0.5974,True,True,True,False,True,0.25,5
95254456df4a4ed1abb90ff2406b5c52,acled_event_food_rain_text_all_0.25_5,0.1901,783,0.4351,0.4213,1.0,0.5928,0.4183,0.4259,1.0,0.5974,True,True,True,False,False,0.25,5
69a9873e3e8f4a959defabf41f2f6211,acled_sub_food_rain_text_conflict_pca_0.5_4,0.252,57,0.3806,0.3704,1.0,0.5405,0.4012,0.3796,1.0,0.5503,True,True,True,True,True,0.5,4
c1848e862b214440b9fdb160b47745c5,acled_sub_food_rain_text_conflict_0.5_4,0.2113,801,0.386,0.3704,1.0,0.5405,0.3789,0.3796,1.0,0.5503,True,True,True,True,False,0.5,4
69db30fd87b7442391df6405205a4a22,acled_sub_food_rain_text_conflict_pca_0.5_5,0.2679,57,0.351,0.3713,0.9375,0.5319,0.4041,0.395,0.9634,0.5603,True,True,True,True,True,0.5,5
8e36cb8e2282423c86ac67e6e515bfd0,acled_sub_food_rain_text_conflict_0.5_5,0.2925,801,0.3645,0.3704,1.0,0.5405,0.3737,0.3796,1.0,0.5503,True,True,True,True,False,0.5,5
2368a1fe863b4a21bfe84f32c46f8401,acled_sub_food_rain_text_all_pca_0.5_4,0.1506,76,0.3494,0.3704,1.0,0.5405,0.4049,0.3796,1.0,0.5503,True,True,True,False,True,0.5,4
c180414c4dd74b8cb113374584a0093b,acled_sub_food_rain_text_all_0.5_4,0.0717,801,0.33,0.3756,1.0,0.5461,0.4092,0.3796,1.0,0.5503,True,True,True,False,False,0.5,4
0f87ab6d6df9428aa9febb471e06fb36,acled_sub_food_rain_text_all_pca_0.5_5,0.1738,76,0.3316,0.3721,1.0,0.5424,0.3893,0.3756,0.9756,0.5424,True,True,True,False,True,0.5,5
00cfbecc71754165880692797918c681,acled_sub_food_rain_text_all_0.5_5,0.3448,801,0.3306,0.3704,1.0,0.5405,0.3983,0.3796,1.0,0.5503,True,True,True,False,False,0.5,5
4d4e0ac49cd64e90b7a723ed52df9f1c,acled_event_food_rain_text_conflict_pca_0.5_4,0.3043,39,0.3339,0.3788,0.9375,0.5396,0.3949,0.3812,0.939,0.5423,True,True,True,True,True,0.5,4
bd3231007fde4058960f87c7f6e98f5d,acled_event_food_rain_text_conflict_0.5_4,0.329,783,0.3483,0.3704,1.0,0.5405,0.3701,0.3796,1.0,0.5503,True,True,True,True,False,0.5,4
a3a0b2fa08414970844da5fbad683e09,acled_event_food_rain_text_conflict_pca_0.5_5,0.0787,39,0.3449,0.3555,0.9375,0.5155,0.4375,0.3816,0.9634,0.5467,True,True,True,True,True,0.5,5
96cd729b4b0d45d99cee7129fd8234a5,acled_event_food_rain_text_conflict_0.5_5,0.0922,783,0.3926,0.3721,1.0,0.5424,0.3661,0.3857,0.9878,0.5548,True,True,True,True,False,0.5,5
4893da136dd24a25831835b07115b81e,acled_event_food_rain_text_all_pca_0.5_4,0.1704,58,0.3558,0.3645,0.975,0.5306,0.4037,0.3709,0.9634,0.5356,True,True,True,False,True,0.5,4
fcc523b9cf0c416c8f59a5f67affa358,acled_event_food_rain_text_all_0.5_4,0.358,783,0.3602,0.3717,0.8875,0.524,0.3586,0.3768,0.9512,0.5398,True,True,True,False,False,0.5,4
e9a0f3a5380648ecb31fad847afb210c,acled_event_food_rain_text_all_pca_0.5_5,0.0712,58,0.3372,0.3704,1.0,0.5405,0.371,0.3796,1.0,0.5503,True,True,True,False,True,0.5,5
03d24a42d84d428680553fe0169ed69a,acled_event_food_rain_text_all_0.5_5,0.1541,783,0.324,0.3721,1.0,0.5424,0.3854,0.3796,1.0,0.5503,True,True,True,False,False,0.5,5
d2d15a41f1324f15baee40ef0e5eb117,acled_sub_food_rain_text_conflict_pca_0.75_4,0.2084,57,0.3601,0.3488,1.0,0.5172,0.3953,0.3148,1.0,0.4789,True,True,True,True,True,0.75,4
0f3dec1b6d904fe193394bd6e2f5369d,acled_sub_food_rain_text_conflict_0.75_4,0.3258,801,0.3932,0.3772,0.84,0.5207,0.3666,0.3526,0.8088,0.4911,True,True,True,True,False,0.75,4
5801e0f261624df8b3a274d4bc86e1fa,acled_sub_food_rain_text_conflict_pca_0.75_5,0.376,57,0.4084,0.3524,0.9867,0.5193,0.343,0.3163,1.0,0.4806,True,True,True,True,True,0.75,5
8e96d1995b6a43209c2e7da0af07bd03,acled_sub_food_rain_text_conflict_0.75_5,0.3311,801,0.3791,0.3632,0.9733,0.529,0.3795,0.3223,1.0,0.4875,True,True,True,True,False,0.75,5
466355da254e408e993ed90810790dad,acled_sub_food_rain_text_all_pca_0.75_4,0.0636,76,0.3775,0.3488,1.0,0.5172,0.3814,0.3116,0.9853,0.4735,True,True,True,False,True,0.75,4
38d273ed5a584496a94a1f3f01d189f8,acled_sub_food_rain_text_all_0.75_4,0.2169,801,0.3803,0.3472,1.0,0.5155,0.3568,0.3148,1.0,0.4789,True,True,True,False,False,0.75,4
b387ad5e950b4f55a762c0d719641be5,acled_sub_food_rain_text_all_pca_0.75_5,0.0582,76,0.3519,0.3458,0.9867,0.5121,0.3358,0.319,0.9853,0.482,True,True,True,False,True,0.75,5
487ef00453894f2d9cc28b46a309062d,acled_sub_food_rain_text_all_0.75_5,0.2324,801,0.3512,0.3472,1.0,0.5155,0.3506,0.3148,1.0,0.4789,True,True,True,False,False,0.75,5
aac0e6d222ea4df19fb94d528bad4356,acled_event_food_rain_text_conflict_pca_0.75_4,0.1285,39,0.3713,0.3447,0.9467,0.5053,0.4171,0.3077,0.8824,0.4563,True,True,True,True,True,0.75,4
b1e4305e8c4c4f1789e97fbfaf8048cf,acled_event_food_rain_text_conflict_0.75_4,0.0901,783,0.3964,0.3472,1.0,0.5155,0.3327,0.3148,1.0,0.4789,True,True,True,True,False,0.75,4
0ca6c4dcf1674c749b66dd90a0b6fae9,acled_event_food_rain_text_conflict_pca_0.75_5,0.0344,39,0.3693,0.3472,1.0,0.5155,0.3491,0.3237,0.9853,0.4873,True,True,True,True,True,0.75,5
323cb901e7084c7fa2db248cfa7a6b5b,acled_event_food_rain_text_conflict_0.75_5,0.2834,783,0.3804,0.3695,1.0,0.5396,0.3466,0.3208,1.0,0.4857,True,True,True,True,False,0.75,5
42741521ad31402b879ca7ea4a557b13,acled_event_food_rain_text_all_pca_0.75_4,0.0871,58,0.3548,0.3524,0.9867,0.5193,0.4153,0.3089,0.8676,0.4556,True,True,True,False,True,0.75,4
29526135f1c04adabc17e588b2dec459,acled_event_food_rain_text_all_0.75_4,0.0684,783,0.3798,0.3527,0.9733,0.5177,0.3156,0.3131,0.9118,0.4662,True,True,True,False,False,0.75,4
40cdd42ae673438798aa5feac1fb6d21,acled_event_food_rain_text_all_pca_0.75_5,0.0686,58,0.3725,0.3505,1.0,0.519,0.3804,0.3128,0.9706,0.4731,True,True,True,False,True,0.75,5
afd13e49b6624510a29a5cff715f9e97,acled_event_food_rain_text_all_0.75_5,0.0453,783,0.3523,0.3472,1.0,0.5155,0.3622,0.3148,1.0,0.4789,True,True,True,False,False,0.75,5
dd8aef1f7259450e9386f1c0f7dca54d,acled_sub_food_rain_text_conflict_pca_1_4,0.4607,57,0.381,0.3241,0.5303,0.4023,0.377,0.3626,0.569,0.443,True,True,True,True,True,1.0,4
